sku,slug,name,brand,category,line,business_model,price_npr,cost_npr,daraz_price_npr,india_list_inr,margin_pct,landed_est_npr,price_confidence,source_url,target_persona,content_angle,b2b_only,stock_priority
ETP-015,ikonic-shampoo-station-zenith-coffee,Ikonic Shampoo Station Zenith - Coffee,Ikonic,Salon Furniture & Equipment,Profit,B2B,126380,63190,,54400,50.0,63191,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-zenith-shampoo-basin-chair-ik-78112-coffee,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-016,aki-clamazone-standing,AKI CLAMAZONE STANDING,Ikonic,Salon Furniture & Equipment,Profit,B2B,95720,47860,,41200,50.0,47858,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/aki-clamazone-standing,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-017,ikonic-reclining-chair-milano,Ikonic Reclining Chair Milano,Ikonic,Salon Furniture & Equipment,Profit,B2B,92930,46465,,40000,50.0,46464,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-375a-grey,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-018,ikonic-reclining-chair-milano-etp-018,Ikonic Reclining Chair Milano,Ikonic,Salon Furniture & Equipment,Profit,B2B,92930,46465,,40000,50.0,46464,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-375a-barber-chair-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-019,ikonic-micro-mist-asa,Ikonic Micro Mist Asa,Ikonic,Salon Furniture & Equipment,Profit,B2B,90140,45070,,38800,50.0,45070,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-1408d-micro-hair-steamer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-020,kyo-pedi-spa-tub,KYO PEDI SPA TUB,Ikonic,Salon Furniture & Equipment,Profit,B2B,85490,42745,,36800,50.0,42747,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/kyo-pedi-spa-tub,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-021,ikonic-spa-bed-athena,Ikonic Spa Bed Athena,Ikonic,Salon Furniture & Equipment,Profit,B2B,83640,41820,,36000,50.0,41818,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/athena-spa-bed,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-022,ikonic-reclining-chair-kinley,Ikonic Reclining Chair Kinley,Ikonic,Salon Furniture & Equipment,Profit,B2B,81780,40890,,35200,50.0,40888,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-reclining-chair-kinley-grey,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-023,ikonic-lush-reclining-cutting-chair,Ikonic Lush Reclining Cutting Chair,Ikonic,Salon Furniture & Equipment,Profit,B2B,80850,40425,,34800,50.0,40424,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-68486a-reclining-cutting-chair-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-024,ikonic-reclining-chair-kanon,Ikonic Reclining Chair Kanon,Ikonic,Salon Furniture & Equipment,Profit,B2B,78060,39030,,33600,50.0,39030,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-reclining-chair-kanon-ik-3079,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-025,ikonic-cutting-chair-lavish,Ikonic Cutting Chair Lavish,Ikonic,Salon Furniture & Equipment,Profit,B2B,76200,38100,,32800,50.0,38100,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-356-cutting-chair-green-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-026,ikonic-facial-spa-bed-hestia,Ikonic Facial Spa Bed Hestia,Ikonic,Salon Furniture & Equipment,Profit,B2B,74340,37170,,32000,50.0,37171,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/hestia-facial-spa-bed,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-027,ikonic-cutting-chair-arthur,Ikonic Cutting Chair Arthur,Ikonic,Salon Furniture & Equipment,Profit,B2B,74340,37170,,32000,50.0,37171,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-arthur-cutting-chair-ik-1052,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-028,ikonic-barber-chair-prestige,Ikonic Barber Chair Prestige,Ikonic,Salon Furniture & Equipment,Profit,B2B,72480,36240,,31200,50.0,36242,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-2687-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-029,ikonic-cutting-chair-poised,Ikonic Cutting Chair Poised,Ikonic,Salon Furniture & Equipment,Profit,B2B,71550,35775,,30800,50.0,35777,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-271-cutting-chair-beige,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-030,rome-spa-bed,Rome Spa Bed,Ikonic,Salon Furniture & Equipment,Profit,B2B,70630,35315,,30400,50.0,35313,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/rome-spa-bed-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-031,ikonic-cutting-chair-halley,Ikonic Cutting Chair Halley,Ikonic,Salon Furniture & Equipment,Profit,B2B,64120,32060,,27600,50.0,32060,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-ik-217-cutting-chair-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-032,ikonic-cutting-chair-lyra,Ikonic Cutting Chair Lyra,Ikonic,Salon Furniture & Equipment,Profit,B2B,62260,31130,,26800,50.0,31131,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-332-cutting-chair-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-033,7-in-1-hydrafacial-machine-professional-fully-automatic,"7-in-1 Hydrafacial Machine - professional, fully automatic",Ikonic,Salon Furniture & Equipment,Profit,B2B,60400,30200,,26000,50.0,30202,INDIA-TRADE-PRICE,https://www.indiamart.com/proddetail/hydrafacial-machine-2850708807762.html,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-034,7-in-1-hydrafacial-machine-semi-automatic-double-motor,"7-in-1 Hydrafacial Machine - semi-automatic, double motor",Ikonic,Salon Furniture & Equipment,Profit,B2B,34850,17425,,15000,50.0,17424,INDIA-TRADE-PRICE,https://www.indiamart.com/proddetail/7-in-1-hydrafacial-machine-27462109133.html,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-035,ryo-facial-steamer,RYO Facial Steamer,Ikonic,Salon Furniture & Equipment,Profit,B2B,34380,17190,,14800,50.0,17192,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ryo-facial-steamer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-036,ikonic-baby-chair-rory,Ikonic Baby Chair Rory,Ikonic,Salon Furniture & Equipment,Profit,B2B,33450,16725,,14400,50.0,16727,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/doremon-baby-chair-gat-blue,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-037,ikonic-face-steamer-rui,Ikonic Face Steamer Rui,Ikonic,Salon Furniture & Equipment,Profit,B2B,27880,13940,,12000,50.0,13939,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/rui-hot-facial-steamer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-038,ikonic-hair-trolley-piper-black,Ikonic Hair Trolley Piper - Black,Ikonic,Salon Furniture & Equipment,Profit,B2B,27880,13940,,12000,50.0,13939,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-autumn-hair-trolley-black-ik-3013b,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-039,ikonic-facial-trolley-cyril-white,Ikonic Facial Trolley Cyril - White,Ikonic,Salon Furniture & Equipment,Profit,B2B,26020,13010,,11200,50.0,13010,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-6701-facial-glass-trolley,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-040,ikonic-towel-warmer-akira,Ikonic Towel Warmer Akira,Ikonic,Salon Furniture & Equipment,Profit,B2B,26020,13010,,11200,50.0,13010,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/akira-towel-warmer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-041,rei-facial-steamer-white,REI FACIAL STEAMER WHITE,Ikonic,Salon Furniture & Equipment,Profit,B2B,25090,12545,,10800,50.0,12545,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/rei-facial-steamer-white,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-042,ikonic-hair-trolley-sassy,Ikonic Hair Trolley Sassy,Ikonic,Salon Furniture & Equipment,Profit,B2B,24160,12080,,10400,50.0,12081,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-3201b-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-043,ikonic-hair-trolley-titan-black,Ikonic Hair Trolley Titan - Black,Ikonic,Salon Furniture & Equipment,Profit,B2B,24160,12080,,10400,50.0,12081,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-professional-dlt-618-plastic-hair-trolley,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-044,ken-head-steamer,Ken Head Steamer,Ikonic,Salon Furniture & Equipment,Profit,B2B,22300,11150,,9600,50.0,11151,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ken-head-steamer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-045,ikonic-head-steamer-kai,Ikonic Head Steamer Kai,Ikonic,Salon Furniture & Equipment,Profit,B2B,22300,11150,,9600,50.0,11151,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-1002-hair-steamer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-046,7-in-1-hydrafacial-machine-entry-manual-grade,7-in-1 Hydrafacial Machine - entry / manual grade,Ikonic,Salon Furniture & Equipment,Profit,B2B,22070,11035,,9500,50.0,11035,INDIA-TRADE-PRICE,https://www.indiamart.com/proddetail/7-in-1-hydra-facial-machine-26355738262.html,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-047,ikonic-hair-steamer-akiko,Ikonic Hair Steamer Akiko,Ikonic,Salon Furniture & Equipment,Profit,B2B,21370,10685,,9200,50.0,10687,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-akiko-head-steamer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-048,lumi-stool-black,LUMI STOOL BLACK,Ikonic,Salon Furniture & Equipment,Profit,B2B,20440,10220,,8800,50.0,10222,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/lumi-stool-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-049,eira-stool-black,EIRA STOOL BLACK,Ikonic,Salon Furniture & Equipment,Profit,B2B,18590,9295,,8000,50.0,9293,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/eira-stool-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-050,pheme-hair-trolley-black,PHEME HAIR TROLLEY BLACK,Ikonic,Salon Furniture & Equipment,Profit,B2B,18590,9295,,8000,50.0,9293,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/pheme-hair-trolley-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-051,ikonic-pedicure-stool-chloe,Ikonic Pedicure Stool Chloe,Ikonic,Salon Furniture & Equipment,Profit,B2B,18590,9295,,8000,50.0,9293,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-chloe-stool-ik-vs257b,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-052,ikonic-professional-2-in-1-brush-cleaner-sterilizer,Ikonic Professional 2 in 1 Brush Cleaner & Sterilizer,Ikonic,Salon Furniture & Equipment,Profit,B2B,18120,9060,,7800,50.0,9060,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-professional-2-in-1-brush-cleaner-sterilizer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-053,uta-hair-service-trolley,UTA HAIR SERVICE TROLLEY,Ikonic,Salon Furniture & Equipment,Profit,B2B,17660,8830,,7600,50.0,8828,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/uta-hair-service-trolley,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-054,ikonic-trolley-egon-black,Ikonic Trolley Egon - Black,Ikonic,Salon Furniture & Equipment,Profit,B2B,17660,8830,,7600,50.0,8828,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-elogy-trolley,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-055,ikonic-towel-warmer-aimi,Ikonic Towel Warmer Aimi,Ikonic,Salon Furniture & Equipment,Profit,B2B,16730,8365,,7200,50.0,8364,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-towel-warmer-aimi,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-056,ikonic-stool-merta-grey,Ikonic Stool Merta - Grey,Ikonic,Salon Furniture & Equipment,Profit,B2B,16730,8365,,7200,50.0,8364,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/merta-stool,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-057,ikonic-facial-steamer-ren,Ikonic Facial Steamer Ren,Ikonic,Salon Furniture & Equipment,Profit,B2B,13010,6505,,5600,50.0,6505,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-facial-steamer-ik-20,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-058,ikonic-jelly-fish-trolley-dai,Ikonic Jelly Fish Trolley Dai,Ikonic,Salon Furniture & Equipment,Profit,B2B,12550,6275,,5400,50.0,6273,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-dai-color-service-trolley,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-059,ikonic-uv-sterilizer-ayumi,Ikonic UV Sterilizer Ayumi,Ikonic,Salon Furniture & Equipment,Profit,B2B,12080,6040,,5200,50.0,6040,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-520-sterlizer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-060,ikonic-hair-trolley-basil,Ikonic Hair Trolley Basil,Ikonic,Salon Furniture & Equipment,Profit,B2B,12080,6040,,5200,50.0,6040,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-200-hair-trolley,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-061,pethe-hair-service-trolley,PETHE HAIR SERVICE TROLLEY,Ikonic,Salon Furniture & Equipment,Profit,B2B,11150,5575,,4800,50.0,5576,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/pethe-hair-service-trolley,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-062,nen-360-degree-rotating-tray,NEN 360 DEGREE ROTATING TRAY,Ikonic,Salon Furniture & Equipment,Profit,B2B,10220,5110,,4400,50.0,5111,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/nen-360-degree-rotating-tray,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-063,ikonic-pedicure-stool-emma,Ikonic Pedicure Stool Emma,Ikonic,Salon Furniture & Equipment,Profit,B2B,9290,4645,,4000,50.0,4646,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/emma-pedi-stool,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-064,ikonic-foot-rest-big,IKONIC FOOT REST BIG,Ikonic,Salon Furniture & Equipment,Profit,B2B,8360,4180,,3600,50.0,4182,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-foot-rest-big,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-065,ikonic-me-3-in-1-facial-steamer-with-nano-ionic-technology-white,"Ikonic Me 3 in 1 Facial Steamer with Nano Ionic Technology, White",Ikonic,Salon Furniture & Equipment,Profit,B2B,6190,3095,,2665,50.0,3096,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-me-3in1-facial-steamer,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-066,small-foot-rest,SMALL FOOT REST,Ikonic,Salon Furniture & Equipment,Profit,B2B,3480,1740,,1500,50.0,1742,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/small-foot-rest-gold,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-067,silky-india-05-ampules-for-hairfall-control-10-x-10ml,Silky India .05 Ampules for Hairfall Control (10 x 10ml),Ikonic,Salon Consumables,Attach,BOTH,6600,3960,,2499,40.0,3958,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-068,silky-india-06-x-trim-anti-dandruff-ampules-10-x-10ml,Silky India .06 X-Trim Anti-Dandruff Ampules (10 x 10ml),Ikonic,Salon Consumables,Attach,BOTH,6600,3960,,2499,40.0,3958,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-069,silky-india-07-sebotherapy-oil-control-ampules-10-x-10ml,Silky India .07 Sebotherapy Oil Control Ampules (10 x 10ml),Ikonic,Salon Consumables,Attach,BOTH,6600,3960,,2499,40.0,3958,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-070,silky-india-02-color-care-linseed-drops-ampules-10-x-10ml,Silky India .02 Color Care Linseed Drops Ampules (10 x 10ml),Ikonic,Salon Consumables,Attach,BOTH,6070,3642,,2299,40.0,3642,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-071,silky-india-03-daily-care-oil-wash-ampules-10-x-10ml,Silky India .03 Daily Care Oil Wash Ampules (10 x 10ml),Ikonic,Salon Consumables,Attach,BOTH,6070,3642,,2299,40.0,3642,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-072,silky-india-ylang-feel-good-serum,Silky India Ylang Feel Good Serum,Ikonic,Salon Consumables,Attach,BOTH,5800,3480,,2199,40.0,3483,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-073,silky-india-04-hair-repair-intensive-oil-of-argan-100ml,Silky India .04 Hair Repair Intensive Oil of Argan (100ml),Ikonic,Salon Consumables,Attach,BOTH,5280,3168,,1999,40.0,3166,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-074,silky-india-02-trilogy-hydrating-conditioner-250ml,Silky India .02 Trilogy Hydrating Conditioner 250ml,Ikonic,Salon Consumables,Attach,BOTH,3960,2376,,1499,40.0,2374,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-075,silky-india-01-never-orange-shampoo-200ml-1000ml,Silky India .01 Never Orange Shampoo (200ml / 1000ml),Ikonic,Salon Consumables,Attach,BOTH,3430,2058,,1299,40.0,2058,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-076,silky-india-01-never-yellow-shampoo-200ml-1000ml,Silky India .01 Never Yellow Shampoo (200ml / 1000ml),Ikonic,Salon Consumables,Attach,BOTH,3430,2058,,1299,40.0,2058,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-077,silky-india-ylang-feel-good-cream-conditioner-250ml-1000ml,Silky India Ylang Feel Good Cream Conditioner (250ml / 1000ml),Ikonic,Salon Consumables,Attach,BOTH,3300,1980,,1249,40.0,1978,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
ETP-078,silky-india-ylang-feel-good-shampoo,Silky India Ylang Feel Good Shampoo,Ikonic,Salon Consumables,Attach,BOTH,3030,1818,,1149,40.0,1820,CONFIRM-BRAND,https://www.silkyhairindia.com/products.json,"Salon that reorders every month, not every year",Stylist demo: result after one wash; monthly reorder reminder,false,2
